price,miles,fuel_type,exterior_color,interior_color,drivetrain,transmission,engine,model_name
19672,13323, Gasoline, Ruby Red Metallic Tinted Clearcoat, Charcoal Black, AWD,Auto,V2,Fusion
25424,12, Gasoline, Shadow Black, Charcoal Black, 4WD,Auto,V4,Escape
26398,6, Gasoline, Lightning Blue, Chromite Gray/Charcoal Black, 4WD,Auto,V4,Escape
45100,3, Gasoline, Shadow Black, Ebony, RWD,Auto,V3,Mustang
12536,100525, Gasoline, Bordeaux Reserve Red Metallic, Medium Light Stone, FWD,Auto,V3,Edge
24667,50175, Gasoline, Gray, Ebony, AWD,Auto,V2,Edge
26500,2, Gasoline, Ruby Red, Charcoal Black, 4WD,Auto,V4,Escape
20602,5093, E85 Flex Fuel, Frozen White Metallic, Black, FWD,Auto,V2,Transit Connect
26520,6, Gasoline, Frozen White, Ebony, FWD,Auto,V2,Transit Connect
12998,41005, E85 Flex Fuel, Silver, Charcoal Black, FWD,Auto,V2,Focus
27874,78132, Gasoline, White, Black, 4WD,Auto,V2,F-150
21953,153772, Diesel, Dark Blue Pearl, Camel, 4WD,Auto,V3,F-250
22985,14, Gasoline, Magnetic Metallic, Ebony, FWD,Auto,V2,Fusion
27839,4, Gasoline, Magnetic Metallic, CHAR BLK HTD UNQ MAT TRM BKT, FWD,Auto,V4,Escape
24000,34116, Gasoline, Magnetic Metallic, Ebony, AWD,Auto,V2,Edge
32691,10, E85 Flex Fuel, Oxford White, Medium Earth Gray, 4WD,Auto,V2,F-150
12498,85021, Gasoline, Black, Charcoal Black, FWD,Auto,V6,Taurus
49630,2672, Gasoline, Black, Black, RWD,Manual,V3,Mustang
38823,1, Gasoline, Shadow Black, Medium Earth Gray, 4WD,Auto,V2,F-150
27337,10, Gasoline, Frozen White, Ebony, FWD,Auto,V2,Transit Connect
17900,69338, Gasoline, Redfire Metallic, Medium Dark Flint, 4WD,Manual,V4,Ranger
22673,8634, Gasoline, Ingot Silver Metallic, Ebony, AWD,Auto,V2,Fusion
10624,65452, E85 Flex Fuel, White, Medium Soft Ceramic, FWD,Auto,V2,Focus
1595,183170, Gasoline, Silver, Gray, FWD,Auto,V2,Freestar
22404,127978, Diesel, Dark Blue, Steel, 4WD,Auto,V2,F-250
50493,14, Gasoline, Agate, Ebony, 4WD,Auto,V2,Explorer
24990,20434, Gasoline, Ruby Red Metallic Tinted Clearcoat, Dune, AWD,Auto,V2,Edge
36562,11, Gasoline, White, Ebony Black, 4WD,Auto,V2,Explorer
10624,65452, E85 Flex Fuel, White, Medium Soft Ceramic, FWD,Auto,V2,Focus
27068,63757, E85 Flex Fuel, Black, Black, 4WD,Auto,V2,Expedition EL
38411,12, Gasoline, Oxford White, Ebony, RWD,Manual,V2,Mustang
30030,5, E85 Flex Fuel, Ruby Red, Medium Light Stone, FWD,Auto,V4,Escape
42913,100, Gasoline, Shadow Black, Black, 4WD,Auto,V2,F-150
24300,108483, Gasoline, Oxford White, Black w/Unique Leather Front Bucket Seats w/Center, 4WD,Auto,V3,F-150
19590,4, E85 Flex Fuel, Ingot Silver Metallic, Dune, FWD,Auto,V3,Taurus
43360,5, Gasoline, Black, Ebony Black, AWD,Auto,V3,Explorer
21227,10, E85 Flex Fuel, Chili Pepper Red, Charcoal Black, FWD,Auto,V2,Focus
21896,6877, Gasoline, Race Red, Ebony, RWD,Auto,V4,Mustang
43925,3, Gasoline, White Platinum Metallic Tri-Coat, Ebony, AWD,Auto,V4,Edge
31588,6063, Gasoline, Oxford White, Ebony Black Cloth, Front,Auto,V3,Explorer
18606,2080, Hybrid, Hot Pepper Red Tinted Clearcoat, Charcoal Black, FWD,CVT,V2,C-Max Hybrid
28310,11, Gasoline, Silver, Gray, FWD,Auto,V2,Transit Connect
23580,10, Gasoline, Lightning Blue Metallic, Charcoal Black Interior, FWD,Auto,V2,Escape
45780,4911, Gasoline, White, Ebony Black, 4WD,Auto,V2,Explorer
26631,1, E85 Flex Fuel, Orange Metallic, Charcoal Black, 4WD,Auto,V4,Escape
22400,68558, Gasoline, White, Black, AWD,Auto,V2,Flex
9878,83390, E85 Flex Fuel, Race Red, Charcoal Black w/Warm Steel Surround w/Cloth Front, FWD,Auto,V2,Focus
34682,4, Gasoline, Magnetic, Medium Earth Gray, 4WD,Auto,V2,F-150
16234,5, Gasoline, Magnetic Metallic, Charcoal Black, FWD,Auto,V2,Focus
23500,18107, E85 Flex Fuel, Oxford White, Pewter, RWD,Auto,V2,Transit-250
23682,5, E85 Flex Fuel, Magnetic, Medium Earth Gray, RWD,Auto,V2,F-150
32088,8784, Gasoline, Silver, Black, FWD,Auto,V2,Model Unknown
37000,11581, Gasoline, Oxford White, Black, 4WD,Auto,V2,F-150
32995,53443, Gasoline, Red, Dune, 4WD,Auto,V2,Expedition
24489,1, Gasoline, Shadow Black, Ebony Black, 4WD,Auto,V2,EcoSport
25585,6, Gasoline, Ingot Silver, Charcoal Black, 4WD,Auto,V4,Escape
16755,24564, Gasoline, Deep Impact Blue, Other, Front Wheel Drive,Auto,V4,Escape
32999,6797, E85 Flex Fuel, Oxford White, Charcoal, RWD,Auto,V2,Transit-350
13349,90574, Gasoline, White Platinum Tri-Coat Metallic, Medium Light Stone, AWD,Auto,V2,Edge
28930,14, Gasoline, Ruby Red, Charcoal Black, 4WD,Auto,V4,Escape
25968,15, Gasoline, Ingot Silver, Medium Light Stone, 4WD,Auto,V4,Escape
19901,28964, Gasoline, Ingot Silver, Charcoal Black, FWD,Auto,V4,Escape
19888,15987, E85 Flex Fuel, White Platinum Tri-Coat Metallic, Dune, FWD,Auto,V2,Taurus
23492,9, E85 Flex Fuel, Magnetic, Dune, FWD,Auto,V2,Taurus
52688,23958, Diesel, Black, Black, 4WD,Auto,V4,F-350
23847,22, Gasoline, Smoke Metallic, Ebony, FWD,Auto,V3,EcoSport
34462,10, Gasoline, Magnetic Metallic, Ebony Black, FWD,Auto,V2,Explorer
20435,4, Gasoline, Lightning Blue Metallic, Charcoal Black, FWD,Auto,V2,Focus
17076,10, Gasoline, Shadow Black, Medium Stone, FWD,Auto,V3,EcoSport
35868,5, Gasoline, Oxford White, Charcoal, RWD,Auto,V3,Transit-250
12519,1, Gasoline, Chili Pepper Red, Charcoal Black, FWD,Auto,V4,Fiesta
28569,10, Gasoline, Ingot Silver Metallic, Medium Stone, 4WD,Auto,V2,Explorer
27992,8, E85 Flex Fuel, Magnetic Metallic, Charcoal Black, FWD,Auto,V2,Taurus
33452,2052, Gasoline, Ingot Silver, Ebony Black, AWD,Auto,V3,Explorer
13977,28075, Gasoline, Silver, Earth Gray, FWD,Auto,V2,Fusion
19496,10307, Hybrid, Magnetic Metallic, Medium Light Stone, FWD,CVT,V4,C-Max Energi
37663,1, Gasoline, Shadow Black, EBONY LT, AWD,Auto,V2,Edge
35432,3, Gasoline, Oxford White, pewter, RWD,Auto,V2,Transit-250
