price,price2,miles,fuel type,exterior color,interior color,drivetrain,transmission,engine,VIN,name,seller_address,id,model_name
"$30,965",,, Gasoline, Ruby Red Metallic Tinted Clearcoat, Ebony, FWD, 6-Speed Automatic, 1.5L I4 16V GDI DOHC Turbo, 3FA6P0CD2KR114126,New 2019 Ford Fusion SEL,"4545 Merle Hay Rd, Des Moines, IA 50310",751506630,Fusion
"$27,940",,, Gasoline, Magnetic Metallic,, FWD, Automatic, 1.5 L, 1FMCU0HD1KUA13596,New 2019 Ford Escape SEL,"565 W Jackson St, Morton, IL 61550",753704031,Escape
"$34,410",,13 miles, Gasoline, Oxford White, Cloth Pewter, RWD, Shiftable Automatic, 6 Cylinder, 1FTYE1CM4JKB19992,New 2018 Ford Transit-150 Base,"13900 Auto Mall Dr., Huntley, IL 60142",740613664,Transit-150
"$62,363",,, Diesel, Oxford White, Black, 4WD, 6-Speed Automatic, 6.7L V8 32V DDI OHV Turbo Diesel, 1FT7W2BT2KED28509,New 2019 Ford F-250 Lariat,"1185 280th St W, New Prague, MN 56071",755587884,F-250
"$37,500",,51 miles, Gasoline, Ingot Silver Metallic, Pewter, RWD, 6-Speed Automatic with Overdrive, 3.7L V6 Ti-VCT 24V, 1FTBW3XG8JKB18427,Used 2018 Ford Transit-350 Base,"4501 South 4th Trafficway, Leavenworth, KS 66048",755792137,Transit-350
"$71,380",,"8,698 miles", Diesel, White Platinum Tri-Coat Metallic, Black, 4WD, 6-Speed Automatic, 6.7L V8 32V DDI OHV Turbo Diesel, 1FT7W2BTXJEC54349,New 2018 Ford F-250 Platinum,"2303 W. Beltline Highway, Madison, WI 53713",735599221,F-250
"$41,947","$41,947",9 miles, Gasoline, Shadow Black, Medium Light Camel, 4WD, 10-Speed Automatic w/OD, Twin Turbo Regular Unleaded V-6 3.5 L/213, 1FTEW1EG1JFD60974,New 2018 Ford F-150 XLT,"2207 North Belt Highway, Saint Joseph, MO 64506",746715408,F-150
"$15,728","$15,728","20,107 miles", Gasoline, Ruby Red Metallic Tinted Clearcoat, Black, FWD, 6-Speed Automatic w/OD, Intercooled Turbo Regular Unleaded I-4 1.5 L/91, 1FA6P0HD7G5127361,Used 2016 Ford Fusion SE,"245 Cokato St W, Cokato, MN 55321",733534175,Fusion
"$26,431","$26,431",, Gasoline, White Gold Metallic, Dune, FWD, Automatic, 3.5 L, 1FAHP2E85JG140780,New 2018 Ford Taurus SEL,"3450 S 9th St, Salina, KS 67401",753363779,Taurus
"$34,895","$34,895",6 miles, Gasoline, Shadow Black, Charcoal Black, FWD, 6-Speed Automatic w/OD, Regular Unleaded V-6 3.5 L/213, 1FAHP2F81JG113395,New 2018 Ford Taurus Limited,"1010 S. Military Ave, Green Bay, WI 54304",722900685,Taurus
"$23,761","$23,761","50,092 miles", Gasoline, Red,, AWD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 2FMDK4KC1EBB46600,Used 2014 Ford Edge Limited,"303 Fulton Ave, Plattsmouth, NE 68048",750781099,Edge
"$56,980","$56,980",13 miles, Diesel, Bright White Clearcoat, Diesel Gray/Black, 4WD, 6-Speed Automatic w/OD, Intercooled Turbo Diesel I-6 6.7 L/408, 3C7WRNBL0JG382891,New 2018 RAM Tradesman,"15500 W 117th St, Olathe, KS 66062",753310095,Model Unknown
"$82,460","$82,460",5 miles, Diesel, Agate Black,, 4WD, 6-Speed Automatic, 6.7L V8 32V DDI OHV Turbo Diesel, 1FT8W3DT7KED11048,New 2019 Ford F-350 Platinum,"3633 N 72nd St, Omaha, NE 68134",756029143,F-350
"$21,999","$21,999","81,398 miles", Diesel, Red, Medium Stone, 4WD, 5-Speed Automatic with Overdrive, 6.4L V8 32V DDI OHV Twin Turbo Diesel, 1FTWW33R38EB75443,Used 2008 Ford F-350 XL,"1400 1st Ave E, Shakopee, MN 55379",755658006,F-350
"$22,839","$22,839","43,680 miles", Gasoline, White,, AWD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 2FMPK4J83GBB79000,Used 2016 Ford Edge SEL,"600 S Burr St, Mitchell, SD 57301",753764665,Edge
"$37,480","$37,480",, Gasoline, Oxford White, Pewter, RWD, 6-Speed Automatic, 3.7L V6 24V MPFI DOHC, 1FTYR2CM7JKA55182,New 2018 Ford Transit-250 Base,"1045 E Chicago St, Elgin, IL 60120",730017473,Transit-250
"$22,939","$22,939","23,128 miles", Gasoline, Red, Ebony, FWD, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 2FMTK3J98FBC31723,Used 2015 Ford Edge SEL,"308 N Outer Rd, St James, MO 65559",752754232,Edge
"$27,952","$27,952","39,967 miles", Gasoline, Shadow Black, Charcoal Black, AWD, 6-Speed Automatic w/OD, Regular Unleaded V-6 3.5 L/213, 2FMHK6D88GBA02471,Used 2016 Ford Flex Limited,"200 N Stephenson, Cedarville, IL 61013",731948419,Flex
"$59,906","$59,906",4 miles, Gasoline, Ruby Red Metallic Tinted Clearcoat, Medium Stone, RWD, 10-Speed Automatic w/OD, Twin Turbo Regular Unleaded V-6 3.5 L/213, 1FMJK1KT5JEA72100,New 2018 Ford Expedition Limited,"7301 Kingery Hwy, Willowbrook, IL 60527",753169176,Expedition
"$48,471","$48,471",10 miles, Gasoline, Ingot Silver Metallic, Ebony Black, 4WD, 6-Speed Automatic, 3.5L V6 24V GDI DOHC Twin Turbo, 1FM5K8HT9JGC82463,New 2018 Ford Explorer Platinum,"N88 W14300 Main Street, Menomonee Falls, WI 53051",748817033,Explorer
"$24,848","$24,848",4 miles, Gasoline, Blue Metallic, Black, FWD, 6-Speed Manual w/OD, Intercooled Turbo Premium Unleaded I-4 2.0 L/122, 1FADP3L99JL285537,New 2018 Ford Focus ST Base,"7301 Kingery Hwy, Willowbrook, IL 60527",730434795,Focus ST
"$50,048","$50,048",1 miles, Gasoline, Ingot Silver Metallic - Silver, Medium Earth Gray Cloth, Four Wheel Drive, Automatic, 3.5L V6 Turbocharged, 1FTFW1E41KKC02864,New 2019 Ford F-150 XLT,"17933 Holzhauer Automall Dr, Nashville, IL 62263",756121642,F-150
"$37,085","$37,085",4 miles, E85 Flex Fuel, White, Pewter, RWD, 6-Speed Automatic, 3.7L V6 24V MPFI DOHC, 1FTYR2CM6KKA09344,New 2019 Ford Transit-250 Base,"1450 Hickman Rd, Waukee, IA 50263",750000518,Transit-250
"$47,668","$47,668",4 miles, Gasoline, Oxford White, Black, 4WD, 10-Speed Automatic, 5.0L V8 32V PDI DOHC, 1FTEW1E53KFA09483,New 2019 Ford F-150 XLT,"14633 Cicero Ave, Midlothian, IL 60445",754198688,F-150
"$6,877","$6,877","93,522 miles", E85 Flex Fuel, Sonic Blue Metallic,, FWD, 6-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Flexible Fuel, 1FAHP3F28CL227258,Used 2012 Ford Focus SE,"4030 Lowe's Blvd, Waterloo, IA 50701",755129481,Focus
"$13,000","$13,000","9,071 miles", Gasoline, Gray, Charcoal Black, FWD, 6-Speed Manual, 1.0L I3 12V GDI DOHC Turbo, 1FADP3FE5JL257128,Used 2018 Ford Focus SE,"9700 W Lincoln Hwy, Frankfort, IL 60423",749948943,Focus
"$20,762","$20,762","14,168 miles", E85 Flex Fuel, Oxford White, Charcoal Black, FWD, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC Flexible Fuel, 1FAHP2E88FG161727,Certified 2015 Ford Taurus SEL,"3101 Osborne Dr W, Hastings, NE 68901",748915968,Taurus
"$55,395","$55,395",5 miles, Gasoline, Race Red,, RWD, 6-Speed Automatic w/OD, Regular Unleaded V-8 6.2 L/379, 1FDRF3G6XKEC95904,New 2019 Ford F-350,"9401 N Milwaukee Ave, Niles, IL 60714",753033781,F-350
"$39,989","$39,989","98,288 miles", Diesel, Oxford White, Black, 4WD, 6-Speed Automatic, 6.7L V8 32V DDI OHV Turbo Diesel, 1FT7W2BT5FEA93545,Used 2015 Ford F-250 Lariat,"525 S Green Bay Rd, Neenah, WI 54956",747633818,F-250
"$18,200","$18,200",, Gasoline, Magnetic, Charcoal Black, FWD, 6-Speed Automatic with Auto-Shift, 1.6L I4 16V MPFI DOHC, 3FADP4EJ3KM114473,New 2019 Ford Fiesta SE,"2501 N Elston Ave, Chicago, IL 60647",755856129,Fiesta
"$75,000","$75,000",761 miles, Gasoline, Gray, Black, Rear Wheel Drive, Manual,8, 1FA6P8JZ8J5503660,Used 2018 Ford Mustang GT,"6500 Telluride Dr, Lincoln, NE 68521",753837879,Mustang
"$31,995","$31,995","13,030 miles", Gasoline, Ingot Silver,, All-wheel Drive, 6-Speed Automatic w/OD, V-6 cyl, 2FMHK6DT2HBA08904,Used 2017 Ford Flex Limited w/EcoBoost,"3802 16th St, Moline, IL 61265",741683227,Flex
"$25,658","$25,658",5 miles, Gasoline, Shadow Black, Ebony, AWD, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 2FMPK4G97JBC10482,New 2018 Ford Edge SE,"2414 North Central Ave., Marshfield, WI 54449",738314644,Edge
